1591,[1 2 2 1 1 0 2 0 0],0,-1
1313,[2 2 1 0 1 2 1 0 0],-1,1
1615,[1 1 2 2 1 0 2 0 0],0,-1
8934,[0 2 2 0 2 0 0 1 1],2,0
18474,[0 2 0 0 0 1 1 2 2],0,-2
15923,[2 0 2 1 1 2 0 1 2],0,1
14413,[1 1 2 2 0 2 1 0 2],0,1
1260,[0 0 2 1 0 2 1 0 0],2,0
12790,[1 0 2 2 1 1 2 2 1],0,1
12773,[2 0 0 2 1 1 2 2 1],0,1
16967,[2 0 1 1 2 0 2 1 2],0,1
17187,[0 2 1 0 2 1 2 1 2],-2,-1
6437,[2 0 1 1 1 2 2 2 0],-2,-1
14436,[0 0 2 0 1 2 1 0 2],0,1
17191,[1 0 2 0 2 1 2 1 2],0,1
3597,[0 2 0 1 2 2 1 1 0],0,-1
6586,[1 2 2 0 0 0 0 0 1],0,-2
13874,[2 1 2 0 0 0 1 0 2],-1,-1
18280,[1 0 0 2 0 0 1 2 2],0,-2
11147,[2 1 2 1 2 0 0 2 1],-2,-1
14291,[2 2 0 1 2 1 1 0 2],0,1
3857,[2 1 2 1 2 0 2 1 0],0,1
8042,[2 1 2 0 0 0 2 0 1],-1,-1
18259,[1 2 0 1 0 0 1 2 2],-1,1
15891,[0 2 1 0 1 2 0 1 2],-2,-2
17172,[0 0 0 0 2 1 2 1 2],-1,-1
4754,[2 0 0 2 1 1 0 2 0],-2,-3
611,[2 2 1 1 1 2 0 0 0],-2,-2
12874,[1 1 2 2 2 1 2 2 1],0,1
11319,[0 2 0 2 1 1 0 2 1],0,-1
16754,[2 1 1 2 2 2 1 1 2],0,1
16684,[1 2 2 2 1 2 1 1 2],0,1
12426,[0 2 0 1 0 0 2 2 1],0,-2
13898,[2 0 2 1 0 0 1 0 2],-1,-1
10909,[1 0 0 2 2 2 2 1 1],0,1
14973,[0 2 1 2 1 1 2 0 2],-1,-1
16541,[2 2 1 0 0 2 1 1 2],1,0
18958,[1 1 0 0 0 0 2 2 2],0,1
12723,[0 2 0 0 1 1 2 2 1],0,-1
4183,[1 2 2 1 0 2 2 1 0],-1,-1
7458,[0 2 0 0 2 0 1 0 1],2,0
14949,[0 0 2 1 1 1 2 0 2],-1,1
651,[0 1 0 0 2 2 0 0 0],1,0
18228,[0 1 0 0 0 0 1 2 2],-2,-4
6,[0 2 0 0 0 0 0 0 0],0,-3
16099,[1 2 0 2 0 0 1 1 2],0,-2
16741,[1 0 0 2 2 2 1 1 2],0,1
18523,[1 0 0 2 0 1 1 2 2],-2,-2
3714,[0 2 1 2 0 0 2 1 0],-2,-3
5058,[0 0 1 1 2 2 0 2 0],-2,-3
910,[1 0 2 0 2 0 1 0 0],0,-4
3849,[0 2 1 1 2 0 2 1 0],0,-2
6174,[0 0 2 0 1 1 2 2 0],2,0
6022,[1 0 0 1 2 0 2 2 0],-1,-1
13420,[1 0 0 2 0 1 0 0 2],-2,0
5800,[1 1 2 1 2 2 1 2 0],-1,1
12367,[1 0 0 2 2 2 1 2 1],0,1
4518,[0 0 1 2 1 0 0 2 0],2,2
18396,[0 0 1 0 2 0 1 2 2],-1,-1
12567,[0 1 1 0 2 0 2 2 1],0,-1
4043,[2 0 2 2 1 1 2 1 0],0,1
1217,[2 0 0 0 0 2 1 0 0],-2,0
17116,[1 2 2 0 1 1 2 1 2],-1,0
17350,[1 2 1 0 1 2 2 1 2],-1,0
10911,[0 1 0 2 2 2 2 1 1],0,1
14680,[1 0 2 0 1 0 2 0 2],-1,-1
6035,[2 1 1 1 2 0 2 2 0],-2,-1
12197,[2 0 2 1 0 2 1 2 1],-1,-1
15824,[2 0 0 1 0 2 0 1 2],-1,-1
14118,[0 2 2 0 0 1 1 0 2],-2,-3
