String,Value,Remoteness
-oxxoxo--,Win,1
xoxxoxo--,Win,1
oxxxoxo--,Win,1
----xxo--,Tie,6
o---xxo--,Win,1
-o--xxo--,Win,1
xo--xxo--,Lose,2
ox--xxo--,Win,1
--o-xxo--,Win,1
x-o-xxo--,Lose,2
xoo-xxo--,Win,1
-xo-xxo--,Lose,2
oxo-xxo--,Win,1
o-x-xxo--,Win,1
-ox-xxo--,Lose,2
oox-xxo--,Win,1
---oxxo--,Tie,5
x--oxxo--,Tie,4
xo-oxxo--,Win,1
-x-oxxo--,Win,1
ox-oxxo--,Lose,0
x-ooxxo--,Win,1
-xooxxo--,Win,1
xxooxxo--,Lose,2
--xoxxo--,Win,1
o-xoxxo--,Lose,0
-oxoxxo--,Win,1
xoxoxxo--,Tie,2
o--xxxo--,Lose,0
-o-xxxo--,Lose,0
--oxxxo--,Lose,0
xooxxxo--,Lose,0
oxoxxxo--,Lose,0
ooxxxxo--,Lose,0
------x--,Tie,8
o-----x--,Win,5
-o----x--,Win,5
xo----x--,Lose,4
ox----x--,Tie,6
--o---x--,Win,5
x-o---x--,Lose,4
xoo---x--,Win,1
-xo---x--,Tie,6
oxo---x--,Win,3
o-x---x--,Lose,4
-ox---x--,Tie,6
oox---x--,Win,1
---o--x--,Win,5
x--o--x--,Tie,6
xo-o--x--,Win,3
-x-o--x--,Tie,6
ox-o--x--,Win,3
x-oo--x--,Win,3
-xoo--x--,Win,3
xxoo--x--,Win,3
--xo--x--,Tie,6
o-xo--x--,Win,1
-oxo--x--,Win,1
xoxo--x--,Win,3
oxxo--x--,Win,3
o--x--x--,Win,5
-o-x--x--,Win,5
oo-x--x--,Lose,4
--ox--x--,Win,5
o-ox--x--,Lose,4
-oox--x--,Win,1
xoox--x--,Lose,0
oxox--x--,Win,3
ooxx--x--,Win,3
----o-x--,Tie,7
x---o-x--,Tie,6
xo--o-x--,Win,1
-x--o-x--,Tie,6
ox--o-x--,Tie,5
x-o-o-x--,Win,1
-xo-o-x--,Tie,5
xxo-o-x--,Tie,4
--x-o-x--,Tie,6
o-x-o-x--,Win,3
-ox-o-x--,Tie,5
xox-o-x--,Win,1
oxx-o-x--,Win,1
x--oo-x--,Tie,5
-x-oo-x--,Tie,5
xx-oo-x--,Win,1
xxooo-x--,Tie,3
--xoo-x--,Tie,5
x-xoo-x--,Win,1
xoxoo-x--,Lose,2
-xxoo-x--,Win,1
oxxoo-x--,Lose,2
---xo-x--,Tie,6
o--xo-x--,Tie,5
-o-xo-x--,Win,1
xo-xo-x--,Lose,0
ox-xo-x--,Win,1
--oxo-x--,Win,1
x-oxo-x--,Lose,0
-xoxo-x--,Tie,4
oxoxo-x--,Tie,3
o-xxo-x--,Win,1
-oxxo-x--,Win,1
ooxxo-x--,Lose,2
o---x-x--,Tie,6
-o--x-x--,Lose,4
oo--x-x--,Win,1
--o-x-x--,Tie,6
o-o-x-x--,Tie,5
-oo-x-x--,Win,3
xoo-x-x--,Lose,2
oxo-x-x--,Tie,4
oox-x-x--,Lose,0
---ox-x--,Lose,4
o--ox-x--,Win,1
-o-ox-x--,Win,1
xo-ox-x--,Lose,2
ox-ox-x--,Lose,2
--oox-x--,Win,3
x-oox-x--,Tie,4
xooox-x--,Win,1
-xoox-x--,Tie,4
oxoox-x--,Win,1
o-xox-x--,Lose,0
-oxox-x--,Lose,0
oo-xx-x--,Win,1
o-oxx-x--,Win,1
-ooxx-x--,Win,1
oooxx-x--,Lose,0
-----ox--,Win,5
x----ox--,Lose,4
xo---ox--,Win,1
-x---ox--,Tie,6
ox---ox--,Win,3
x-o--ox--,Win,1
-xo--ox--,Win,5
xxo--ox--,Win,1
--x--ox--,Tie,6
o-x--ox--,Win,1
-ox--ox--,Win,1
xox--ox--,Lose,2
oxx--ox--,Win,3
x--o-ox--,Win,3
-x-o-ox--,Win,3
xx-o-ox--,Win,1
xxoo-ox--,Lose,2
--xo-ox--,Win,1
x-xo-ox--,Win,1
xoxo-ox--,Win,1
-xxo-ox--,Win,1
oxxo-ox--,Win,1
---x-ox--,Tie,6
o--x-ox--,Tie,5
-o-x-ox--,Win,1
xo-x-ox--,Lose,0
ox-x-ox--,Win,3
--ox-ox--,Win,1
x-ox-ox--,Lose,0
-xox-ox--,Win,1
