--oxoxox-,1
--o-xxox-,-1
xoo-xxox-,-1
oxo-xxox-,1
o--oxxox-,1
x-ooxxox-,-1
-xooxxox-,1
oo-xxxox-,1
o-oxxxox-,1
-ooxxxox-,1
o-----xx-,1
xoo---xx-,-1
oxo---xx-,-1
oox---xx-,-1
---o--xx-,1
ox-o--xx-,-1
-xoo--xx-,-1
o-xo--xx-,-1
-oxo--xx-,-1
ooox--xx-,1
xo--o-xx-,-1
x-o-o-xx-,-1
-o-xo-xx-,-1
--oxo-xx-,-1
xooxo-xx-,1
ooo-x-xx-,1
o--ox-xx-,-1
-o-ox-xx-,-1
--oox-xx-,-1
oxoox-xx-,1
ooxox-xx-,1
xo---oxx-,-1
ox---oxx-,-1
o-x--oxx-,-1
-ox--oxx-,-1
-o-x-oxx-,-1
xoox-oxx-,1
ooxx-oxx-,-1
x--oooxx-,1
-x-oooxx-,1
--xoooxx-,1
---xooxx-,-1
xo-xooxx-,1
x-oxooxx-,1
-oxxooxx-,-1
o---xoxx-,-1
-o--xoxx-,-1
oxo-xoxx-,1
oox-xoxx-,1
---oxoxx-,-1
xo-oxoxx-,-1
ox-oxoxx-,1
-xooxoxx-,1
o-xoxoxx-,1
-oxoxoxx-,1
ooo--xxx-,1
o--o-xxx-,-3
oxoo-xxx-,-1
ooxo-xxx-,-1
xoo-oxxx-,-1
xxo-----o,-3
-xx-----o,1
xxxo----o,1
-xox----o,-3
xxx-o---o,1
xx-xo---o,-1
x-xxo---o,-1
oxxxo---o,1
oxx-x---o,-1
xx-ox---o,-1
x-xox---o,-1
-xxox---o,-1
xo-xx---o,-1
ox-xx---o,-1
o-xxx---o,-1
-oxxx---o,-1
xxx--o--o,1
xxox-o--o,1
x-xx-o--o,-1
-xxx-o--o,-3
xxxxoo--o,1
xxo-xo--o,1
x-x-xo--o,-1
-xx-xo--o,-1
xxxoxo--o,1
x-oxxo--o,1
-xoxxo--o,1
oxxxxo--o,-1
oxxo-x--o,-1
xo-x-x--o,-1
x-ox-x--o,-1
oxx-ox--o,1
xxxoox--o,1
---xox--o,-3
ox-xox--o,1
-xoxox--o,-1
o-xxox--o,1
-oxxox--o,-1
ox--xx--o,-1
-xo-xx--o,-1
o-x-xx--o,-1
-ox-xx--o,-1
o--xxx--o,1
-o-xxx--o,1
--oxxx--o,1
xooxxx--o,1
oxoxxx--o,1
ooxxxx--o,1
xxx---o-o,1
x--x--o-o,-3
-x-x--o-o,-3
xxox--o-o,-1
oxxx--o-o,-1
xxxxo-o-o,1
xxxox-o-o,1
xxxx-oo-o,1
xxx-xoo-o,1
x--xxoo-o,-1
xoxxxoo-o,-1
-x---xo-o,-3
xxo--xo-o,-1
--x--xo-o,-3
oxx--xo-o,-1
xxxo-xo-o,1
xxx-oxo-o,1
x--xoxo-o,-1
-x-xoxo-o,-1
--xxoxo-o,-1
xoxxoxo-o,-1
--xoxxo-o,-1
xoxoxxo-o,-1
---xxxo-o,1
xo-xxxo-o,1
ox-xxxo-o,1
x-oxxxo-o,1
-xoxxxo-o,1
o-xxxxo-o,1
-oxxxxo-o,1
xox---x-o,-1
x-xo--x-o,-1
-xxo--x-o,-1
xo-x--x-o,1
x-ox--x-o,1
oxox--x-o,-1
-oxx--x-o,-1
xx--o-x-o,-1
x-x-o-x-o,-1
oxx-o-x-o,1
xxxoo-x-o,1
x--xo-x-o,1
ox-xo-x-o,1
xxoxo-x-o,1
o-xxo-x-o,1
xoxxo-x-o,1
xo--x-x-o,-1
ox--x-x-o,-1
o-x-x-x-o,1
-ox-x-x-o,1
-x-ox-x-o,-1
--xox-x-o,1
xoxox-x-o,1
oxxox-x-o,1
o--xx-x-o,-1
-o-xx-x-o,-1
xooxx-x-o,1
ooxxx-x-o,1
xxo--ox-o,1
x-x--ox-o,-1
-xx--ox-o,-1
xxxo-ox-o,1
x--x-ox-o,1
ox-x-ox-o,-1
-xox-ox-o,1
--xx-ox-o,-1
xoxx-ox-o,1
xxx-oox-o,1
xx-xoox-o,1
x-xxoox-o,1
x-o-xox-o,1
-xo-xox-o,1
--x-xox-o,1
xox-xox-o,1
oxx-xox-o,1
x-xoxox-o,1
-xxoxox-o,1
xo-xxox-o,1
--oxxox-o,1
o-xxxox-o,1
-oxxxox-o,1
-o-x-xx-o,-1
--ox-xx-o,-1
xoox-xx-o,1
ox--oxx-o,1
o-x-oxx-o,1
-ox-oxx-o,-1
xxoooxx-o,-1
xoxooxx-o,-1
o--xoxx-o,1
xo-xoxx-o,1
x-oxoxx-o,1
o---xxx-o,-1
-o--xxx-o,-1
oxo-xxx-o,-1
oox-xxx-o,1
ox-oxxx-o,-1
xoooxxx-o,-1
o-xoxxx-o,1
-oxoxxx-o,1
oo-xxxx-o,1
o-oxxxx-o,1
-ooxxxx-o,1
